🔍 Scanning for power monitoring interfaces...
   🌡️  Found thermal zone: thermal_zone0
   💻 Added CPU monitoring
📊 Logging system power data to /home/pi/system_power_log.csv
🖥️  Monitoring CPU, memory, temperature, and available power metrics
⚠️  Watching for high CPU, temperature, and system load issues
Press Ctrl+C to stop logging
✅ 2025-07-21T17:27:39.305343: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:27:44.306200: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:27:49.307157: CPU 3%, Temp 49.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:27:54.308034: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:27:59.312991: CPU 1%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:04.315205: CPU 1%, Temp 49.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:09.316071: CPU 1%, Temp 49.6°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:14.316928: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:19.317803: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:24.320456: CPU 1%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:29.322674: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:34.323523: CPU 1%, Temp 49.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:39.324395: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:44.325249: CPU 1%, Temp 49.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:49.326132: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:54.328647: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:28:59.330511: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:29:04.333178: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:29:09.338597: CPU 1%, Temp 48.5°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:29:14.341255: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:29:19.342118: CPU 1%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:29:24.343003: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:29:29.343863: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:29:34.344731: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:29:39.345616: CPU 0%, Temp 49.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:29:44.346514: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:29:49.347398: CPU 2%, Temp 48.0°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:29:54.348277: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:29:59.349139: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:30:04.349997: CPU 0%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:30:09.350888: CPU 0%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:30:14.351739: CPU 0%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:30:19.352615: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:30:24.353470: CPU 1%, Temp 48.0°C, Load 0.9, V:N/A, P:N/A
